id,title,link,content,gold_label
0,سلمان کے بعد شاہ رخ خان کو بھی جان سے مارنےکی دھمکی,https://urdu.geo.tv/latest/385991-,ممبئی: بالی وڈ اداکار سلمان خان کے بعد  اب کنگ  خان کہلائے جانے  والے شاہ رخ  خان کو  بھی جان سے مارنےکی دھمکی ملی ہے۔ بھارت میڈیا کے مطابق ممبئی کے  باندرا پولیس اسٹیشن میں ایک کال موصول ہوئی اور فون کرنے والے نے شاہ رخ خان سے 50 لاکھ تاوان مانگا جب کہ عدم ادائیگی کی صورت میں بالی وڈ خان کو نقصان پہنچانے کی دھمکی دی۔ رپورٹ کے مطابق پولیس کو موصول فون ریاست چھتیس گڑھ کے شہر رائے پور سے کیا گیا اور ٹریس کرنے کے بعد نمبر ایک فیضان نامی شخص کا نکلا مگر مبینہ ملزم نے کہا ہے کہ اس کا فون 2 نومبر کو چوری ہوگیا تھا۔ بھارتی میڈیاکےمطابق شاہ رخ خان سے متعلق دھمکی آمیز کال موصول ہونے کا مقدمہ باندرا پولیس اسٹیشن میں درج کرلیا گیا ہے اور مزید تحقیقات جاری ہیں۔ ریاست مہاراشٹرا کی حکومت نے شاہ رخ خان کو +Y کیٹیگری کی سکیورٹی فراہم کردی ہے۔ واضح رہے گزشتہ سال اکتوبر میں فلم ’پٹھان‘ اور ’جوان‘ کی کامیابی کے بعد بھی  شاہ رخ کو جان سے مارنے کی دھمکیاں ملی تھیں جس کے بعد انھیں وائی پلس سکیورٹی دی گئی تھی۔ دوسری جانب سلمان خان کو دھمکی دینے والا لارنس بشنوئی کا بھائی کرناٹک سے گرفتار کرلیاگیا۔ بھارتی میڈیا کےمطابق ممبئی پولیس ٹریفک کنٹرول کو 5 نومبر کو سلمان خان کے لیے دھمکی آمیزپیغام موصول ہواتھا جس میں سلمان خان سے 5کروڑ روپےطلب کیے گئے تھے اور عدم ادائیگی کی صورت میں قتل کرنے کی دھمکی دی گئی تھی۔,entertainment
1,طلاق کی خبروں کے باوجود ابھیشیک اور ایشوریا کونسی فلم میں ایک ساتھ جلوہ گر ہوں گے؟,https://urdu.geo.tv/latest/385972-,بالی وڈ کی معروف جوڑی ایشوریا رائے اور ابھیشیک بچن طلاق کی خبروں کی زد میں ہیں لیکن اب حال ہی میں دونوں سے متعلق نئی تفصیل سامنے آئی ہے۔ بھارتی میڈیا رپورٹس کے مطابق اب دونوں ایک ساتھ ایک فلم میں جلوہ گر بھی ہونے جارہے ہیں، میگا اسٹارز مشہور فلم ساز منی رتنم ایک نئی ہندی فلم پر کام کر رہے ہیں جس میں اس  جوڑی کو کاسٹ کرنے کی خبریں ہیں۔ منی رتنم نے 2007 میں فلم گرو کے بعد انہیں راون میں بھی اکٹھا کاسٹ کیا تھا، اب وہ ایک اور فلم کےلیے دلچسپ کہانی تلاش کر چکے ہیں جس میں یہ جوڑی پھر نظر آئے گی۔ رپورٹس کے مطابق منی رتنم وہ شخص ہیں جنہوں نے ایشوریا اور ابھیشیک میں قربیتیں بڑھانے میں اہم کردار ادا کیا تھا، دونوں کی لوو اسٹوری کا آغاز فلم گرو کے سیٹ سے ہی ہوا تھا۔ واضح رہے کہ ابھیشیک بچن سے متعلق خبریں زیرِ گردش ہیں کہ وہ اداکارہ نمرت کور کے ساتھ رومانوی تعلقات میں ہیں جبکہ ایشوریا رائے سے ان کی علیحدگی ہو گئی ہے۔ اس حوالے سے دونوں اداکاروں کی جانب سے کسی قسم کا کوئی بیان سامنے نہیں آیا جبکہ اداکارہ نمرت کور ابھیشیک سے تعلقات کی تردید کر چکی ہیں اور کہہ چکی ہیں کہ وہ اور ابھیشیک دوست سے زیادہ کچھ نہیں ہیں۔,entertainment
2,'میرا اپنا دماغ خراب تھا'، نادیہ خان نے کم عمری میں کی گئی شادی کی وجہ بتادی,https://urdu.geo.tv/latest/385943-,پاکستان شوبز انڈسٹری کی معروف میزبان و اداکارہ نادیہ خان نے کم عمر میں شادی کرنے کی وجہ بتا دی۔ نادیہ خان نے حال ہی میں پروگرام میں کم عمری میں ہونے والی اپنی پہلی شادی کے بارے میں بات کی۔ انہوں نے بتایا کہ مجھ پر والدین کی طرف سے شادی کا کوئی دباؤ نہیں تھا، اس وقت میرا اپنا ہی دماغ خراب ہو گیا تھا، میں نے خود اپنے سر اور پاؤں پر کلہاڑی ماری۔ اداکارہ نے بتایا کہ میرے والد تو میرے شادی کے فیصلے کے خلاف تھے اور ان کا کہنا تھا کہ مجھے پہلے اپنے کام پر توجہ دینی چاہیے لیکن شاید اس وقت میرے شادی کرنے کی وجہ میرے ارد گرد کا ماحول تھا۔ اُنہوں نے بتایا کہ اس وقت میں اپنے ارد گرد کے ماحول کو دیکھ کر یہ سوچنے لگی تھی کہ سب کی شادیاں ہو رہی ہیں بس میں ہی اکیلی رہ گئی ہوں، مجھے کوئی تجربہ تو تھا نہیں اس وقت کہ ضروری نہیں ہے اگر آپ کو کسی سے محبت ہو گئی ہے تو اس کے ساتھ آپ کی شادی بھی کامیاب ہوگی۔ نادیہ نےکہا کہ بس وہ شادی میری ایک ضد اور بے وقوفی تھی کیونکہ اس وقت میرا کیرئیر بہت اچھا تھا اور میں دنیا گھوم رہی تھی لیکن بس اچانک دماغ خراب ہوا تو یہ مکمل طور میری اپنی غلطی ہے کیونکہ میں اپنے والدین کی بات مان کر اس شادی سے بچ سکتی تھی۔ اداکارہ نے مزید بتایا کہ میری والدہ کو خواب میں بھی نظر آیا تھا کہ یہ شادی میرے لیے صحیح نہیں ہے، میرے والد کو میرے شادی کے فیصلے پر سب سے بڑا اعتراض یہ تھا کہ ابھی شادی کے لیے وقت صحیح نہیں ہے کیونکہ میں اس وقت صرف 20 سال کی تھی۔ نادیہ خان کا کہنا تھا کہ میں تو شادی کا لڈو کھا کر بہت عرصے تک پچھتائی ہوں لیکن شادی کے بعد سب سے خوبصورت چیز جو مجھے ملی وہ میرے بچے ہیں۔,entertainment
3,امیتابھ نہ شاہ رخ، بالی وڈ میں سب سے پہلے رولز رائس کس کے پاس تھی؟,https://urdu.geo.tv/latest/385850-,رولز رائس کا شمار لگژری اور مہنگی ترین گاڑیوں میں ہوتا ہے لیکن بالی وڈ میں یہ گاڑی سب سے پہلے مشہور زمانہ اداکارہ کے پاس رہی۔ بھارتی میڈیا کے مطابق بالی وڈ  میں سب سے پہلے رولز رائس گاڑی نہ ہی امیتابھ بچن اور نہ ہی شاہ رخ خان کے پاس رہی بلکہ بالی وڈ اداکارہ نادرا وہ پہلی اداکارہ ہیں جن کے استعمال میں رولز رائس گاڑی رہی۔ میڈیا رپورٹس کے مطابق اداکارہ نادرا نے 1950 سے 1960 کی دہائی تک  بالی وڈ پر راج کیا اور انہوں نے مہنگی گاڑی بھی 1960 کی دہائی میں خریدی تھی۔ نادرا نے 11 سال کی عمر میں بطور چائلڈ آرٹسٹ فلموں سے اپنے کیرئیر کا آغاز کیا لیکن انہوں نے 1952 میں محبوب خان کی فلم سے شہرت حاصل کی۔ اس کے علاوہ شری 420 اور دل اپنا اور پریت پرائی جیسی کامیاب فلموں سے لوگوں کی توجہ حاصل کی۔ میڈیا رپورٹس کے مطابق اُس دور میں اداکار نادرا کا شمار سب سے زیادہ معاوضہ لینے والی اداکاراؤں میں ہوتا تھا حالانکہ وہ اکثر دوسری لیڈ کا کردار ادا کرتی تھیں۔,entertainment
4,ہنی سنگھ کی پاکستانی گلوکار کو کریڈٹ دیکر  سرائیکی گانا گانے کی ویڈیو وائرل,https://urdu.geo.tv/latest/385820-,بالی وڈ میں پاکستانی گانوں کو ہمیشہ ہی پسند کیا جاتا ہے اور انہیں چرایا بھی جاتا ہے  جس کا پاکستانی گلوکاروں کو کوئی کریڈٹ بھی نہیں دیا جاتا۔ تاہم حال ہی میں بھارتی گلوکار و ریپر ہنی سنگھ کی ایک ویڈیو وائرل ہوئی جس میں انہیں پاکستان کی سرائیکی زبان کا مشہور گانا 'بسمہ اللہ کراں' گاتے ہوئے دیکھا گیا۔ اس دوران سب سے توجہ طلب بات یہ تھی کہ گلوکار نے حاضرین کو اس گانے کے اصل گلوکار 'ندیم عباس' کے حوالے سے بتایا اور پاکستانی گلوکار کو کریڈٹ دیتے ہوئے 'بسمہ اللہ کراں' گانا گا کر حاضرین کی داد وصول کی۔ سوشل میڈیا پر وائرل ہونے والی اس ویڈیو میں گلوکار ہنی سنگھ کا ندیم عباس کو کریڈٹ دینا مداحوں کو پسند آیا جس کی مداحوں نے تعریف بھی کی۔ واضح رہے ندیم عباس لونے والا نے 'ندیم عباس لونے والا کے اداس گانے' کے نام سے اپنی البم بنائی تھی اور 'بسمہ اللہ کراں' گانا بھی اسی البم میں شامل تھا جو 2015 میں ریلیز ہوا۔,entertainment
5,شاہ رخ، عاطف اور ہمایوں، ماہرہ خان نے تینوں اسٹارز کے بارے میں کیا بتایا؟,https://urdu.geo.tv/latest/385838-,اداکارہ ماہرہ خان نے اپنے ساتھ کام کرنے والے اداکاروں کے بارے میں دلچسپ انکشاف کیا ہے۔ ماہرہ خان نے ایک چیریٹی تقریب میں شرکت کی جہاں انہوں نے میزبان کی جانب سے پوچھے گئے سوالوں کا جواب دیا۔ میزبان نے اداکارہ سے ہمایوں سعید، شاہ رخ خان، فہد مصطفیٰ اور عاطف اسلم کے حوالے سے پوچھا جس پر ماہرہ نے کہا کہ شاہ رخ ایک سپر اسٹار ہیں لیکن وہ ہمیشہ آپ کو خاص محسوس کریں گے، اگر وہ کال یا میسج پر مصروف ہیں تو وہ آپ سے بات کرنے کو یقینی بنائیں گے، یہ وہ چیز ہے جس کے بارے میں بہت سے لوگ نہیں جانتے ہیں۔ ماہرہ نے ہمایوں سعید کے بارے میں بات کرتے ہوئے انہیں بچہ قرار دیا اور کہا کہ وہ بہت نفیس شخص ہیں اور وہ دل سے بچے کی طرح ہیں۔ اداکارہ نے فہد مصطفیٰ سے شکایت کرتے ہوئے کہا کہ اداکار میں مزاح کی خشک حس ہے، وہ بریٹش حس مزاح رکھتے ہیں جس کے بارے میں بہت سے لوگ نہیں جانتے۔ ماہرہ خان نے ساتھی اداکار عاطف اسلم کے بارے میں انکشاف کیا کہ وہ ان کے ساتھ بہت روحانی تعلق رکھتی ہیں، ہم دونوں کی زیادہ بات نہیں ہوتی لیکن جب بھی عاطف بات کریں گے تو وہ اندرونی سکون اور خیریت کے بارے میں پوچھیں گے۔,entertainment
6,امریکی اداکار بریڈپٹ کو فلم سیٹ پر خاتون مداح کی نازیبا حرکت کا سامنا,https://urdu.geo.tv/latest/385836-,60  سالہ امریکی اداکار بریڈ پٹ  کو اپنی نئی آنے والی فلم 'F1' کے سیٹ پر خاتون مداح کی جانب سے نازیبا حرکت کا سامنا کرنا پڑا۔ غیر ملکی خبر رساں ادارے کے مطابق اداکار  بریڈ پٹ  کو ان کی آنے والی فلم 'F1' کے سیٹ پر ایک خاتون مداح نے  پکڑ کر اور بغیر اجازت لیے  بوسہ دے دیا۔ بریڈپٹ نےافراتفری کے باوجود  خاتون مداح کی اس غیر اخلاقی حرکت  پر  منفی برتاؤ نہیں کیا اور ردعمل میں کہا کہ انہوں نے اس حرکت سے ’خطرہ محسوس نہیں کیا‘ کیونکہ یہ صرف ایک بوسہ تھا ’چہرے پر گھونسہ‘نہیں۔ ڈیلی میل کی رپورٹ کے مطابق امریکی اداکار کے قریبی ذرائع نے بتایا کہ ’سرعام اس حرکت کے باوجود بریڈ بہت پرسکون ہیں کیوں کہ وہ اپنے مداحوں  کی محبت کو کبھی منفی انداز میں نہیں لیتے‘۔ خاتون مداح  کے رویے پر امریکی اداکار  بریڈپٹ تو مطمئن ہیں لیکن سوشل میڈیا صارفین سمیت بریڈ پٹ کے دیگر مداح  اس عمل پر  سیخ پا ہیں اور اسے  ہراساں کیا جانا قرار دے رہے ہیں ۔,entertainment
7,لڑکیاں سلمان کی حقیقت کو کئی سال بعدپہچان پاتی ہیں: سومی علی,https://urdu.geo.tv/latest/385824-,بالی وڈ اداکارہ سومی علی نے سپر اسٹار سلمان خان کی گرل فرینڈ کے طور پر جانے جانا اپنے لیے سب سے بڑی لعنت قرار دے دیا۔ اداکارہ سومی علی 90کی دہائی کی مشہور اداکارہ اور سوشل ورکر   بھی ہیں، سلمان خان اور سومی علی  8 سالوں تک تعلقات میں رہے لیکن سلمان خان کی زندگی میں ایشوریا رائے کی انٹری کے بعد دونوں کا تعلق ختم ہوگیا جس کے بعد سومی علی 1999 میں بھارت چھوڑ کر چلی گئیں۔ حال ہی میں بھارتی میڈیا  سے گفتگو کے دوران سومی علی سے سوال کیا گیا کہ وہ آج بھی سلمان خان کی سابقہ گرل فرینڈ کے طور پر جانی جاتی ہیں ماضی کے اس تعلق نے ان کی پہچان  میں خاطر خواہ اضافہ کیا اس بارے میں ان کی کیا رائے ہے؟ سوال کے جواب میں سومی کا کہنا تھا  کہ سلمان خان کی گرل فرینڈ کے طور پر جانے جانا  میرے لیے سب سے بڑی لعنت ہے،  میں نے امریکا میں  بہترین کام کیا اور بہت کچھ حاصل کیالیکن اس سب کے باوجود  لوگ مجھے سلمان کی سابقہ گرل فرینڈ کے طور پر پہچانتے ہیں جو کہ میرے لیے سب سے بڑی لعنت ہے‘۔ سلمان خان اور سومی علی  8 سالوں تک تعلق میں رہے لیکن سلمان خان کی زندگی میں ایشوریا رائے کی اینٹری کے بعد ان کا سومی سے تعلق ختم ہوگیا تھا انہوں نے کہا کہ ’سلمان خان  اس برس  59 یا 60 سال کے ہو جائیں گے لیکن وہ ابھی بھی اسکول کے لڑکوں کی طرح برتاؤ کرتے ہیں، عدم تحفظ کا شکار ہونے کی وجہ سے دوسروں کو ہراساں کرتے ہیں، وہ لوگوں کو مجھ سے بات نہ کرنے کیلئے مجبور کرتےہیں اور لڑکیاں سلمان خان کی حقیقت کو کئی سال بعدپہچان پاتی ہیں‘۔ سومی علی نے مزید  انکشاف کیا کہ ؔ’میرا کئی سالوں سے  بالی وڈ انڈسٹری  سے  کوئی رابطہ نہیں ہے اورجب بھی  بالی وڈ  کے بارے میں سوچتی ہوں تو   سلمان خان یاد آجاتے ہیں جس سے میرے اندر اُداسی اور افسردگی بھرجاتی ہے ‘۔,entertainment
8,امریکی انتخابات: اداکارہ ریما نے کسے ووٹ دیا؟,https://urdu.geo.tv/latest/385826-,ماضی کی شہرت یافتہ لالی وڈ اداکارہ ریما نے امریکی صدارتی انتخابات میں اپنا ووٹ کاسٹ کردیا۔ فوٹو اینڈ ویڈیو شیئرنگ پلیٹ فارم انسٹاگرام پر اداکارہ نے ووٹ ڈالنے کے بعد اپنے شوہر کے ہمراہ تصاویر شیئر کی ہیں۔ انہوں نے اپنی پوسٹ کے کیپشن میں بتایا کہ انہوں نے اپنے شوہر کے ساتھ امریکی صدارتی انتخابات میں ووٹ ڈال دیا ہے۔ ساتھ ہی انہوں نے یو ایس الیکشن، ووٹ 2024 کے ہیش ٹیگ کا بھی اضافہ کیا ہے۔ دوسری جانب ماضی کی اداکارہ نے اس حوالے سے مختلف انسٹا اسٹوریز بھی شیئر کی ہیں جن میں انہیں ووٹ کاسٹ کرتے ہوئے دیکھا جا سکتا ہے۔ اب سوال یہ پیدا ہوتا ہے کہ اداکارہ ریما نے ریپبلکن پارٹی کے ڈونلڈ ٹرمپ کو ووٹ دیا یا ڈیموکریٹک پارٹی کی کملا ہیرس کو؟ 7 میں سے 2 سوئنگ ریاستوں میں ڈونلڈ ٹرمپ کامیاب ہو گئے، 5 کا نتیجہ آنا باقی ہے یہ سوال مداحوں کی جانب سے ان کے کمنٹس سیکشن میں کیے گئے جب کہ کئی صارفین نے اپنے اندازوں کے مطابق بتایا کہ ریما نے کسے ووٹ دیا ہوگا، متعدد نے ٹرمپ کا نام لیا۔ تاہم اداکارہ نے یہ تو بتا دیا کہ انہوں نے اپنے شوہر ڈاکٹر طارق کے ہمراہ امریکی صدارتی انتخابات میں اپنا حق رائے دہی استعمال کر لیا ہے لیکن انہوں نے یہ نہیں بتایا کہ انہوں نے کسے ووٹ دیا ہے۔,entertainment
9,’دنگل‘ کی اداکارہ فاطمہ ثنا کا خطرناک بیماری میں مبتلا  رہنے کا انکشاف,https://urdu.geo.tv/latest/385724-,بالی وڈ کی کامیاب فلم  ’دنگل‘ کی اداکارہ فاطمہ ثنا نے مرگی میں مبتلا رہنے  کا انکشاف کیا ہے۔ حال ہی میں بھارتی میڈیا سے گفتگو کے دوران فاطمہ ثنا نے انکشاف کیا کہ’مجھے  فلم دنگل کے دوران مرگی کی تشخیص ہوئی تھی جس کے بعد  میں اتنی خوفزدہ ہوگئی کہ میں نے  تقریبات میں جانا چھوڑ دیا‘۔ بھارتی میڈیا سے گفتگو کے دوران فاطمہ ثنا  نے اپنے مرض کو قبول کرنے کے لیے کی گئی جدوجہد پر بات کرتے ہوئے  کہا ’میں اس مرض کو قبول کرنے کیلئے تیار نہیں تھی لہٰذا میں نے  اس کیلئے علاج بھی نہیں کروایا، مجھے ڈر تھا کہ کہیں لوگوں کو اسکا پتہ نہ لگ جائے کیوں کہ مرگی کے مریضوں کیلئے سوچا جاتا ہے کہ آپ یا تو منشیات لے رہے ہیں یا پھر  توجہ حاصل کرنے کیلئے یہ سب کررہے ہیں‘۔ فاطمہ ثنا نے  اپنی بیماری کے حوالے سے اعتراف کرتے ہوئے کہا کہ’ مجھے  ہفتے میں ایک یا دو مرتبہ  دورے پڑتے تھے جس کی وجہ سے میں تقریبات میں  نہیں جاتی تھی، زیادہ روشنی مرگی کے مریضوں میں دورے پڑنے کا سبب بن سکتی ہے لیکن ایسا ہر بار ضروری نہیں مگر میں اتنی خوفزدہ تھی کہ  میں نے تقریبات اور اسکریننگ میں جانا چھوڑ دیا‘۔ اداکار ہ نے مزید بتایا کہ’ میں نے اپنی بیماری کا ذکر پاپارازی سے کیا اور پھر انہوں نے  میری تصاویر بغیر فلیش لینا شروع کیں تاہم  اس سب کے باوجود میں اپنی روٹین بہت اچھے سے مینیج کرتی رہی‘۔ واضح رہے کہ فاطمہ ثنا شیخ دنگل کے بعد عامر خان کے ساتھ گہرے تعلقات  کے باعث خبروں کی زینت بنی رہی تھیں تاہم   اداکارہ کو آخری  مرتبہ فلم  ’سیم بہادر‘میں دیکھا گیا تھا جس کے بعد اب وہ اپنی آنے والی فلم  ’ میٹرو ان ڈینو  ‘ میں  اداکاری کے جوہر دکھائیں گی۔,entertainment
